, 距离（米） ,showName,建成年代,楼栋数, 总户数 , 成交均价（元） , 在售均价（元） ,在售套数,纬度,经度,详情页链接,地图链接,rentTotal,1室房租均价
5011000006682," 5,301 ",长丰坊,1994.0,91.0," 1,320 "," 72,663 "," 74,198 ",16.0,31.160463,121.423256,http://m.sh.lianjia.com/xiaoqu/5011000006682.html,"http://m.sh.lianjia.com/map/pos?pos=121.423256,31.160463",17.0,
5011000006829," 6,144 ",长宁路1600弄,1991.0,24.0, 747 ," 57,489 "," 67,359 ",12.0,31.224358,121.414763,http://m.sh.lianjia.com/xiaoqu/5011000006829.html,"http://m.sh.lianjia.com/map/pos?pos=121.414763,31.224358",14.0,
5011000007006," 5,937 ",中山西路640号,1983.0,1.0, 41 , -   ," 72,124 ",1.0,31.21666118,121.4190059,http://m.sh.lianjia.com/xiaoqu/5011000007006.html,"http://m.sh.lianjia.com/map/pos?pos=121.4190059,31.21666118",1.0,
5011000007027," 4,936 ",仙霞路133弄,1982.0,6.0, 140 , -   ," 91,665 ",1.0,31.21172713,121.4108273,http://m.sh.lianjia.com/xiaoqu/5011000007027.html,"http://m.sh.lianjia.com/map/pos?pos=121.4108273,31.21172713",3.0,
5011000007080," 6,185 ",光复西路2185弄,1989.0,8.0, 144 ," 26,913 "," 63,034 ",2.0,31.227318,121.412071,http://m.sh.lianjia.com/xiaoqu/5011000007080.html,"http://m.sh.lianjia.com/map/pos?pos=121.412071,31.227318",,
5011000007249," 6,849 ",凯旋路110号,1977.0,1.0, 20 , -   ," 90,083 ",1.0,31.22748293,121.4211329,http://m.sh.lianjia.com/xiaoqu/5011000007249.html,"http://m.sh.lianjia.com/map/pos?pos=121.4211329,31.22748293",1.0,
5011000007336," 4,713 ",古美西路316弄,1997.0,118.0," 1,412 "," 55,405 "," 59,235 ",18.0,31.13966,121.40246,http://m.sh.lianjia.com/xiaoqu/5011000007336.html,"http://m.sh.lianjia.com/map/pos?pos=121.40246,31.13966",25.0,
5011000007367," 3,360 ",新泾路120弄,1996.0,4.0, 85 ," 36,487 "," 64,220 ",1.0,31.20998206,121.3678444,http://m.sh.lianjia.com/xiaoqu/5011000007367.html,"http://m.sh.lianjia.com/map/pos?pos=121.3678444,31.20998206",,
5011000007500," 2,153 ",吴中路940弄,1994.0,26.0, 420 ," 50,535 "," 56,703 ",5.0,31.18426082,121.3966523,http://m.sh.lianjia.com/xiaoqu/5011000007500.html,"http://m.sh.lianjia.com/map/pos?pos=121.3966523,31.18426082",1.0,
5011000007582," 6,127 ",中山西路424弄,1994.0,6.0, 102 ," 42,626 "," 70,274 ",1.0,31.22120557,121.4175696,http://m.sh.lianjia.com/xiaoqu/5011000007582.html,"http://m.sh.lianjia.com/map/pos?pos=121.4175696,31.22120557",1.0,
5011000007605," 4,191 ",威宁路291弄,1997.0,8.0, 144 ," 29,570 "," 65,429 ",5.0,31.217476,121.391244,http://m.sh.lianjia.com/xiaoqu/5011000007605.html,"http://m.sh.lianjia.com/map/pos?pos=121.391244,31.217476",,
5011000007634," 6,258 ",武夷路772号,1990.0,1.0, 24 ," 49,922 "," 80,185 ",1.0,31.21866338,121.4212836,http://m.sh.lianjia.com/xiaoqu/5011000007634.html,"http://m.sh.lianjia.com/map/pos?pos=121.4212836,31.21866338",1.0,
5011000007768," 5,039 ",虹桥小区,1986.0,56.0," 1,119 "," 69,705 "," 75,851 ",7.0,31.20409525,121.4171718,http://m.sh.lianjia.com/xiaoqu/5011000007768.html,"http://m.sh.lianjia.com/map/pos?pos=121.4171718,31.20409525",5.0,
5011000007773," 5,715 ",延安西路1930弄,1978.0,4.0, 96 ," 70,929 "," 68,596 ",2.0,31.21254788,121.4194072,http://m.sh.lianjia.com/xiaoqu/5011000007773.html,"http://m.sh.lianjia.com/map/pos?pos=121.4194072,31.21254788",,
5011000007916," 6,504 ",宁强小区,1994.0,8.0, 170 ," 65,488 "," 78,002 ",2.0,31.22640485,121.4175956,http://m.sh.lianjia.com/xiaoqu/5011000007916.html,"http://m.sh.lianjia.com/map/pos?pos=121.4175956,31.22640485",3.0,
5011000007995," 5,470 ",娄山关路815弄,1984.0,12.0, 276 ," 42,108 "," 61,104 ",1.0,31.21910144,121.4109214,http://m.sh.lianjia.com/xiaoqu/5011000007995.html,"http://m.sh.lianjia.com/map/pos?pos=121.4109214,31.21910144",,
5011000008225," 3,736 ",绿园十村,1997.0,46.0, 568 ," 39,068 "," 60,578 ",9.0,31.21322988,121.3659436,http://m.sh.lianjia.com/xiaoqu/5011000008225.html,"http://m.sh.lianjia.com/map/pos?pos=121.3659436,31.21322988",,
5011000008227," 5,754 ",安顺路231弄,2004.0,29.0, 633 ," 65,805 "," 73,041 ",12.0,31.20698824,121.4231687,http://m.sh.lianjia.com/xiaoqu/5011000008227.html,"http://m.sh.lianjia.com/map/pos?pos=121.4231687,31.20698824",9.0,
5011000008401," 4,874 ",茅台路250弄,1990.0,10.0, 252 ," 52,206 "," 72,061 ",5.0,31.215809,121.406082,http://m.sh.lianjia.com/xiaoqu/5011000008401.html,"http://m.sh.lianjia.com/map/pos?pos=121.406082,31.215809",1.0,
5011000008591," 2,795 ",金浜路105弄,1995.0,10.0, 110 ," 30,200 "," 57,735 ",5.0,31.20403386,121.3680713,http://m.sh.lianjia.com/xiaoqu/5011000008591.html,"http://m.sh.lianjia.com/map/pos?pos=121.3680713,31.20403386",1.0,
5011000008717," 4,669 ",古美西路420弄,1996.0,112.0," 1,368 "," 55,656 "," 58,515 ",29.0,31.139123,121.401019,http://m.sh.lianjia.com/xiaoqu/5011000008717.html,"http://m.sh.lianjia.com/map/pos?pos=121.401019,31.139123",42.0,
5011000008775," 6,477 ",上中西路767弄,1998.0,29.0, 474 ," 42,637 "," 59,219 ",12.0,31.13679389,121.4230975,http://m.sh.lianjia.com/xiaoqu/5011000008775.html,"http://m.sh.lianjia.com/map/pos?pos=121.4230975,31.13679389",5.0,
5011000008857," 3,332 ",绿园十二村,1997.0,72.0, 823 ," 49,423 "," 59,451 ",6.0,31.20917279,121.3666014,http://m.sh.lianjia.com/xiaoqu/5011000008857.html,"http://m.sh.lianjia.com/map/pos?pos=121.3666014,31.20917279",4.0,
5011000008875," 3,573 ",馨虹小区,1996.0,23.0, 541 ," 50,097 "," 61,467 ",7.0,31.21289479,121.3699584,http://m.sh.lianjia.com/xiaoqu/5011000008875.html,"http://m.sh.lianjia.com/map/pos?pos=121.3699584,31.21289479",11.0,
5011000009025," 4,046 ",仙霞路471弄,1986.0,4.0, 80 ," 35,627 "," 68,459 ",1.0,31.21168744,121.3985577,http://m.sh.lianjia.com/xiaoqu/5011000009025.html,"http://m.sh.lianjia.com/map/pos?pos=121.3985577,31.21168744",,
